epoch,agent0_loss,agent1_loss
1,0.386176,0.372588
2,0.169543,0.150272
3,0.127017,0.105441
4,0.110377,0.088802
5,0.102569,0.075860
6,0.095498,0.068516
7,0.088738,0.063259
8,0.083991,0.058417
9,0.079623,0.054710
10,0.077286,0.052182
11,0.073057,0.050394
12,0.071955,0.047097
13,0.070460,0.046332
14,0.065804,0.044323
15,0.065274,0.043500
16,0.064070,0.041399
17,0.061839,0.041190
18,0.061730,0.039930
19,0.059846,0.039289
20,0.057632,0.037530
21,0.058024,0.036645
22,0.055962,0.036068
23,0.055505,0.036821
24,0.054395,0.034432
25,0.052948,0.034402
26,0.052041,0.034058
27,0.052306,0.033469
28,0.049520,0.033690
29,0.050206,0.032278
30,0.050611,0.032845
31,0.048813,0.031962
32,0.048736,0.031423
33,0.049090,0.031496
34,0.047659,0.030031
35,0.047663,0.030756
36,0.046698,0.030109
37,0.047237,0.030180
38,0.045829,0.029011
39,0.045568,0.028729
40,0.045713,0.028654
41,0.044328,0.029170
42,0.044660,0.028682
43,0.043118,0.027768
44,0.043840,0.028301
45,0.044411,0.028180
46,0.043643,0.027597
47,0.043045,0.027395
48,0.042332,0.026744
49,0.042398,0.027039
50,0.042766,0.026651
51,0.041177,0.026670
52,0.042516,0.026250
53,0.041742,0.026095
54,0.041032,0.025491
55,0.041363,0.026028
56,0.040800,0.025653
57,0.040497,0.025591
58,0.039658,0.025028
59,0.040531,0.025515
60,0.040143,0.025356
61,0.039533,0.024670
62,0.038505,0.025233
63,0.038547,0.024933
64,0.039201,0.024675
65,0.038583,0.024170
66,0.038858,0.023700
67,0.037939,0.023078
68,0.037684,0.023752
69,0.037782,0.023970
70,0.037623,0.025189
71,0.038368,0.023396
72,0.037266,0.023885
73,0.037090,0.023185
74,0.037002,0.022914
75,0.035839,0.022886
76,0.036712,0.022548
77,0.036189,0.022599
78,0.035982,0.022811
79,0.037106,0.023023
80,0.036521,0.023029
81,0.035978,0.022361
82,0.035102,0.022731
83,0.036232,0.021921
84,0.035587,0.021919
85,0.036076,0.022012
86,0.034930,0.021743
87,0.035144,0.021325
88,0.035546,0.021606
89,0.035771,0.020899
90,0.034911,0.021602
91,0.034532,0.021315
92,0.034663,0.021448
93,0.034620,0.021665
94,0.034817,0.020991
95,0.033364,0.021168
96,0.033932,0.020880
97,0.033629,0.020890
98,0.033899,0.021357
99,0.033754,0.020845
100,0.033716,0.021007
101,0.033659,0.021387
102,0.033301,0.020320
103,0.033052,0.020392
104,0.033453,0.020647
105,0.033177,0.020226
106,0.032681,0.020080
107,0.032361,0.019959
108,0.032503,0.020093
109,0.033203,0.020545
110,0.032837,0.020029
111,0.031900,0.020304
112,0.032786,0.019765
113,0.032326,0.020222
114,0.032103,0.019720
115,0.032040,0.019703
116,0.032633,0.019933
117,0.031911,0.019747
118,0.031974,0.019532
119,0.031403,0.019272
120,0.032261,0.019702
121,0.032222,0.019439
122,0.031968,0.019222
123,0.031473,0.019827
124,0.031775,0.019318
125,0.031992,0.019377
126,0.031841,0.019724
127,0.031310,0.019038
128,0.030751,0.018923
129,0.031341,0.019083
130,0.031210,0.019561
131,0.031312,0.019018
132,0.030960,0.018767
133,0.030539,0.018923
134,0.031559,0.019741
135,0.031203,0.018745
136,0.031251,0.018656
137,0.031684,0.018984
138,0.031269,0.018949
139,0.031345,0.018447
140,0.031378,0.018690
141,0.030236,0.018631
142,0.031077,0.018881
143,0.030940,0.019138
144,0.031090,0.019219
145,0.031436,0.019647
146,0.030425,0.018552
147,0.030954,0.018670
148,0.030501,0.018631
149,0.031206,0.019078
150,0.030977,0.018613
